CNPJ,Nome,Nome_Curto,Codigo_CVM,Ticker
89.086.144/0001-16,RANDONCORP S.A.,Randon,14109,"RAPT3, RAPT4"
33.453.598/0001-23,RAÍZEN S.A.,Raízen,25917,RAIZ4
06.047.087/0001-39,REDE D'OR SÃO LUIZ S.A.,Rede D'Or,24821,RDOR3
08.534.605/0001-74,RENOVA ENERGIA S.A.,Renova Energia,21636,"RNEW3, RNEW4, RNEW11"
67.010.660/0001-24,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,Rni Negócios Imobiliários,20451,RDNI3
59.981.829/0001-65,RODOBENS S.A.,Rodobens,25801,RBNS11
56.720.428/0001-63,ROMI S.A.,Indústrias ROMI,7510,ROMI3
02.387.241/0001-60,RUMO S.A.,Rumo,17450,RAIL3
02.762.121/0001-04,SANTOS BRASIL PARTICIPAÇÕES S.A.,Santos Brasil Participações,17892,STBP3
29.780.061/0001-09,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,São Carlos,13781,SCAR3
06.057.223/0001-71,SENDAS DISTRIBUIDORA S.A.,Assaí,25372,ASAI3
01.599.101/0001-93,SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,Sequoia Logística,25160,SEQL3
04.986.320/0001-13,SER EDUCACIONAL S.A.,Ser Educacional,23221,SEER3
42.500.384/0001-51,SERENA ENERGIA S.A.,Serena Energia,26441,SRNA3
09.149.503/0001-06,SERENA GERAÇÃO S.A.,Serena Geração,23426,OMGE3
07.415.333/0001-20,SIMPAR S.A.,Simpar,25003,SIMH3
89.096.457/0001-55,SLC AGRICOLA SA,SLC Agrícola,20745,SLCE3
07.718.269/0001-57,SPRINGS GLOBAL PARTICIPAÇÕES S/A - EM RECUPERAÇÃO JUDICIAL,Springs Global Participações,20966,SGPS3
16.404.287/0001-55,SUZANO S.A.,Suzano,13986,SUZB3
08.801.621/0001-86,SYN PROP & TECH S.A.,SYN,21040,SYNE3
51.466.860/0001-56,SÃO MARTINHO SA,São Martinho,20516,SMTO3
02.860.694/0001-62,T4F ENTRETENIMENTO SA,Time For Fun,22454,SHOW3
92.781.335/0001-02,TAURUS ARMAS S.A.,Taurus,6173,"TASA3, TASA4"
26.345.998/0001-50,TC S.A.,Traders Club,26077,TRAD3
09.295.063/0001-97,TECHNOS SA,Technos,22519,TECN3
08.065.557/0001-12,TECNISA S/A,Tecnisa,20435,TCSA3
02.351.144/0001-18,TEGMA GESTÃO LOGÍSTICA SA,Tegma,20800,TGMA3
